id,price_amount,funding_total_usd,status
1,25000000,1200000000,Unsuccessful
2,5600000,1100000000,Successful
3,2000000,974100000,Unsuccessful
4,5000000,856300000,Unsuccessful
5,100000000,743000000,Unsuccessful
6,73147.55,463600000,Unsuccessful
7,15999990,374400000,Unsuccessful
8,26400000,457000000,Unsuccessful
9,300000,401300000,Successful
10,1500000,366500000,Successful
11,4200000,355200000,Unsuccessful
12,3300000,330300000,Successful
13,6000000,328000000,Successful
14,1386723,323500000,Successful
15,2100000,304100000,Successful
16,150000000,300000000,Successful
17,20000000,295000000,Successful
18,87000000,292000000,Unsuccessful
19,9400000,278100000,Successful
20,4100000,256100000,Successful
21,650000,16000000,Successful
22,14800000,40000000,Successful
23,28200000,40000000,Successful
24,8000000,448000000,Successful
25,30000000,820000000,Successful
26,112200.4,250200000,Successful
27,3500000,237500000,Successful
28,5100000,237900000,Successful
29,25000000,220000000,Successful
30,1000000,217000000,Successful
31,11900000,207500000,Successful
32,10000000,200000000,Unsuccessful
33,10000000,200000000,Successful
34,10000000,200000000,Successful
35,10000000,200000000,Successful
36,6000000,173400000,Successful
37,7524044,157400000,Successful
38,3000000,152700000,Successful
39,53000000,153000000,Successful
40,225000,176600000,Successful
41,355963.95,7900000,Successful
42,74350.27,137700000,Successful
43,120000,134100000,Successful
44,15000000,86400000,Successful
45,800000,128200000,Successful
46,100000000,530000000,Successful
47,3000000,7000000,Successful
48,500000,1400000000,Unsuccessful
49,500000000,500000000,Unsuccessful
50,60000000,60000000,Unsuccessful
51,105000,105000,Unsuccessful
52,4400000,4400000,Successful
53,50000,50000,Unsuccessful
54,5000000,5000000,Successful
55,15000000,276000000,Successful
56,1000000,211900000,Successful
57,30000000,30000000,Successful
58,225000000,325000000,Unsuccessful
59,25000000,25000000,Unsuccessful
60,1900000,69900000,Unsuccessful
61,1100000,45000000,Unsuccessful
62,10000000,40000000,Unsuccessful
63,18700000,262200000,Unsuccessful
64,2500000,379100000,Successful
65,3500000,237500000,Successful
66,22800000,123300000,Successful
67,2700000,119200000,Successful
68,110000,106500000,Sucessful
69,8900000,100900000,Successful
70,20000000,409000000,Unsuccessful
71,29000000,120700000,Unsuccessful
